Moho, 250000, 6818, 1.6860938e11
Eve, 700000, 90000, 8.1717302e12
Gilly, 13000, 6401, 8289449.8
Kerbin, 600000, 70000, 3.5316000e12
Mun, 200000, 7059, 6.5138398e10
Minmus, 60000, 5724, 1.7658000e9
Duna, 320000, 50000, 3.0136321e11
Ike, 130000, 12738, 1.8568369e10
Dres, 138000, 5670, 2.1484489e10
Jool, 6000000, 200000, 2.82528e14
Laythe, 500000, 50000, 1.962e12
Vall, 300000, 7985, 2.0748150e11
Tylo, 600000, 12904, 2.82528e12
Bop, 65000, 51757, 2.4868349e9
Pol, 44000, 4891, 7.2170208e8
Eeloo, 210000, 3797, 7.4410815e10
